0.01,49.6
0.02,31.5
0.03,28.0
0.04,27.8
0.05,27.5
0.06,29.0
0.07,29.1
0.08,28.9
0.09,29.4
0.1,28.9
0.11,28.6
0.12,32.6
0.13,42.1
0.14,32.5
0.15,32.3
0.16,32.2
0.17,32.3
0.18,32.1
0.19,32.2
0.2,32.1
0.21,32.0
0.22,32.2
0.23,32.4
0.24,32.1
0.25,37.0
0.26,36.9
0.27,37.8
0.28,36.8
0.29,37.9
0.3,37.2
0.31,37.6
0.32,37.1
0.33,36.8
0.34,36.7
0.35,36.7
0.36,37.7
0.37,37.0
0.38,36.7
0.39,37.5
0.4,36.6
0.41,37.2
0.42,37.2
0.43,37.0
0.44,37.7
0.45,37.1
0.46,37.1
0.47,36.8
0.48,36.5
0.49,37.1
0.5,41.4
0.51,41.7
0.52,42.0
0.53,42.5
0.54,41.5
0.55,41.5
0.56,42.4
0.57,41.9
0.58,42.1
0.59,41.4
0.6,41.4
0.61,41.3
0.62,41.4
0.63,41.0
0.64,41.8
0.65,40.9
0.66,40.7
0.67,41.4
0.68,48.1
0.69,41.7
0.7,42.1
0.71,41.7
0.72,41.3
0.73,41.9
0.74,41.5
0.75,40.8
0.76,41.3
0.77,41.4
0.78,41.5
0.79,41.2
0.8,41.9
0.81,41.1
0.82,41.9
0.83,41.9
0.84,41.3
0.85,41.3
0.86,41.4
0.87,41.0
0.88,40.9
0.89,41.3
0.9,41.8
0.91,40.5
0.92,42.6
0.93,41.4
0.94,41.5
0.95,41.9
0.96,41.0
0.97,42.1
0.98,41.1
0.99,40.5
1.0,39.3
1.01,39.6
1.02,39.7
1.03,39.7
1.04,39.5
1.05,39.7
1.06,39.7
1.07,39.8
1.08,39.8
1.09,39.9
