0.01,68.1
0.02,34.4
0.03,26.8
0.04,27.1
0.05,26.4
0.06,26.7
0.07,26.6
0.08,26.3
0.09,26.2
0.1,26.7
0.11,26.3
0.12,27.0
0.13,26.8
0.14,26.9
0.15,27.3
0.16,26.7
0.17,26.8
0.18,26.9
0.19,27.0
0.2,26.7
0.21,26.9
0.22,26.8
0.23,26.8
0.24,26.6
0.25,27.6
0.26,27.7
0.27,27.9
0.28,28.3
0.29,27.7
0.3,27.6
0.31,28.0
0.32,27.8
0.33,28.0
0.34,27.6
0.35,27.4
0.36,27.7
0.37,28.0
0.38,27.7
0.39,27.9
0.4,27.7
0.41,27.8
0.42,28.7
0.43,27.7
0.44,27.7
0.45,27.6
0.46,27.4
0.47,28.1
0.48,27.8
0.49,27.7
0.5,29.2
0.51,29.4
0.52,29.0
0.53,29.2
0.54,29.3
0.55,29.1
0.56,29.4
0.57,29.1
0.58,29.3
0.59,29.1
0.6,29.2
0.61,29.2
0.62,29.2
0.63,29.2
0.64,29.7
0.65,29.1
0.66,29.3
0.67,29.3
0.68,29.3
0.69,30.3
0.7,29.2
0.71,29.4
0.72,29.1
0.73,29.2
0.74,29.4
0.75,29.3
0.76,29.3
0.77,29.4
0.78,29.4
0.79,29.2
0.8,29.4
0.81,29.6
0.82,29.4
0.83,29.4
0.84,29.3
0.85,29.5
0.86,29.8
0.87,29.5
0.88,29.3
0.89,30.1
0.9,29.3
0.91,29.3
0.92,29.3
0.93,29.2
0.94,29.1
0.95,29.4
0.96,29.0
0.97,29.2
0.98,29.3
0.99,29.3
1.0,40.1
1.01,40.0
1.02,39.9
1.03,40.0
1.04,40.6
1.05,39.9
1.06,40.2
1.07,39.9
1.08,40.5
1.09,40.3
