0.01,47.3
0.02,30.3
0.03,29.2
0.04,27.5
0.05,26.6
0.06,27.4
0.07,27.2
0.08,27.2
0.09,27.1
0.1,27.3
0.11,27.1
0.12,28.4
0.13,28.8
0.14,28.6
0.15,28.5
0.16,28.7
0.17,28.3
0.18,28.9
0.19,28.5
0.2,28.5
0.21,29.0
0.22,29.2
0.23,29.2
0.24,31.3
0.25,30.5
0.26,30.9
0.27,30.7
0.28,30.3
0.29,30.7
0.3,30.8
0.31,30.6
0.32,30.4
0.33,30.5
0.34,30.5
0.35,30.3
0.36,30.5
0.37,30.3
0.38,30.1
0.39,30.4
0.4,30.4
0.41,30.9
0.42,30.2
0.43,30.6
0.44,30.2
0.45,30.1
0.46,30.3
0.47,30.1
0.48,30.3
0.49,30.2
0.5,29.0
0.51,29.0
0.52,28.8
0.53,28.9
0.54,28.8
0.55,28.8
0.56,28.9
0.57,28.8
0.58,28.8
0.59,28.9
0.6,29.0
0.61,28.8
0.62,28.8
0.63,28.8
0.64,29.0
0.65,28.8
0.66,28.9
0.67,28.8
0.68,28.8
0.69,28.7
0.7,28.8
0.71,29.0
0.72,28.8
0.73,28.8
0.74,28.8
0.75,28.8
0.76,28.7
0.77,28.9
0.78,30.1
0.79,28.9
0.8,29.0
0.81,29.0
0.82,29.0
0.83,28.7
0.84,28.8
0.85,28.8
0.86,28.9
0.87,28.8
0.88,29.1
0.89,29.1
0.9,29.0
0.91,29.3
0.92,29.1
0.93,29.3
0.94,28.9
0.95,28.9
0.96,28.8
0.97,28.8
0.98,28.9
0.99,28.7
1.0,39.5
1.01,39.7
1.02,39.5
1.03,39.5
1.04,39.4
1.05,39.5
1.06,39.6
1.07,39.4
1.08,39.3
1.09,39.2
